"year","month","cod_interaguas","latitude_decimal","longitude_decimal","Alcalinidade Total","Alumínio Dissolvido","Condutividade","Ferro Total","pH","Dureza","DBO (5, 20)","CTt"
2011,1,27,-23.1033333333333,-46.545,23,0.4,61,6,6.8,66,6,1300
2011,1,29,-22.9691666666667,-46.8477777777778,25,0.1,67,6,6.8,63,3,4500
2011,1,30,-22.9377777777778,-46.9336111111111,23,0.3,69,9,7,20,3,9400
2011,1,32,-22.9083333333333,-46.5436111111111,13,1,35,13,6.6,25,2,600
2011,1,34,-22.7466666666667,-46.8977777777778,15,3,46,20,6.9,33,2,1900
2011,1,35,-22.7122222222222,-46.9713888888889,16,3,48,16,6.9,33,2,18000
2011,1,37,-22.6988888888889,-47.1519444444444,20,7,60,33,6.7,69,2,22000
2011,1,38,-22.6622222222222,-47.2777777777778,20.67,0.5,69.2,14,7.4,20,5,6900
2011,1,40,-22.7025,-46.7494444444444,17,7,47,56,6.5,75,3,15000
2011,1,43,-22.7108333333333,-47.3227777777778,20.84,0.2,109,13,6.8,14,4,7800
2011,1,54,-22.6336111111111,-47.6827777777778,31.09,0.6,130,5,7,55,3,11000
2011,1,83,-22.905,-46.9738888888889,25,0.2,79,6,6.8,19,3,31000
2011,1,86,-22.7613888888889,-47.1766666666667,29,0.5,124,36,6.8,46,2,11000
2011,1,627,-22.6597222222222,-47.2758333333333,12.66,0.7,47.2,12,7.5,13,2,1600
2011,1,1946,-22.3247222222222,-47.5588888888889,18.71,0.5,53.5,17,6.8,39,2,5200
2011,2,66,-23.0061111111111,-47.1,65,0.6,195,3,7,148,5,6200
2011,2,71,-23.2083333333333,-46.7686111111111,25,1,88,10,6.6,18,4,76000
2011,2,1947,-23.1641666666667,-47.015,23,2,86,12,6.6,78,2,533
2011,5,35,-22.7122222222222,-46.9713888888889,18,0.2,87,1,7.1,81,2,11000
2011,6,66,-23.0061111111111,-47.1,61,0.1,240,2,7.2,168,8,201
2011,6,71,-23.2083333333333,-46.7686111111111,21,0.25,79,1.48,6.8,18.7,4,22000
2011,6,82,-23.1583333333333,-46.9094444444444,28,0.1,93,0.46,7,30.45,2,86
2011,6,274,-23.2619444444444,-47.0577777777778,11,0.64,40,0.64,6.5,12.59,2,440
2011,6,320,-23.1830555555556,-47.2438888888889,14,2.45,89,2.51,6.6,17.54,2,218
2011,6,1947,-23.1641666666667,-47.015,22,0.39,75,1.23,6.9,23.48,2,700
2011,7,27,-23.1033333333333,-46.545,13,0.14,50,0.757,6.7,10.7,2,460
2011,7,29,-22.9691666666667,-46.8477777777778,16,0.19,68,0.598,6.8,14.7,2,1160
2011,7,30,-22.9377777777778,-46.9336111111111,15,0.31,86,1.5,7.1,14.6,2,1080
2011,7,32,-22.9083333333333,-46.5436111111111,12,0.09,42,0.8,6.4,6,2,2200
2011,7,34,-22.7466666666667,-46.8977777777778,15,0.06,75,0.4,7.3,13,2,7800
2011,7,35,-22.7122222222222,-46.9713888888889,17,0.05,89,0.5,7.2,15,2,8600
2011,7,37,-22.6988888888889,-47.1519444444444,24,0.07,117,0.8,6.8,10,3,2600
2011,7,38,-22.6622222222222,-47.2777777777778,40.3,0.1,132,0.8,7.3,71,3,680000
2011,7,40,-22.7025,-46.7494444444444,18,0.17,74,0.856,6.9,16,7,3400
2011,7,43,-22.7108333333333,-47.3227777777778,40,0.05,180,0.361,6.6,21.3,5,400
2011,7,83,-22.905,-46.9738888888889,19,0.26,105,0.963,7,18,3,1900
2011,7,86,-22.7613888888889,-47.1766666666667,35,0.22,297,0.927,7.2,22.7,6,21000
2011,7,627,-22.6597222222222,-47.2758333333333,35.2,0.2,66.3,0.9,7.7,64,2,171
2011,7,1342,-22.4527777777778,-47.52,29.4,0.1,47.1,6,6.8,16,2,300
2011,7,1945,-22.4091666666667,-47.5402777777778,29.4,0.05,50.1,1,7.2,19,2,350
2011,8,66,-23.0061111111111,-47.1,84,0.1,307,11,7.3,93,13,25000
2011,8,71,-23.2083333333333,-46.7686111111111,25,0.1,93,2,7,34,4,46000
2011,8,82,-23.1583333333333,-46.9094444444444,28,0.07,91,2,7.4,45,2,20
2011,8,274,-23.2619444444444,-47.0577777777778,12,0.06,42,3,6.6,10,2,6200
2011,8,320,-23.1830555555556,-47.2438888888889,15,0.09,90,7,7.1,4,2,92
2011,8,1947,-23.1641666666667,-47.015,24,0.2,83,1,7.2,46,2,480
2011,11,27,-23.1033333333333,-46.545,13,0.9,51,1,6.6,12,2,223
2011,11,29,-22.9691666666667,-46.8477777777778,16,1,68,1,6.6,14,2,12000
2011,11,30,-22.9377777777778,-46.9336111111111,16,2,88,1,6.6,13,2,1300
2011,11,32,-22.9083333333333,-46.5436111111111,14,0.05,50,1,6.8,11,2,920
2011,11,34,-22.7466666666667,-46.8977777777778,14,2,65,2,6.9,14,2,3700
2011,11,35,-22.7122222222222,-46.9713888888889,14,2,74,2,6.8,16,2,14000
2011,11,37,-22.6988888888889,-47.1519444444444,18,2,92,2,6.7,18,4,2200
2011,11,38,-22.6622222222222,-47.2777777777778,21.6,0.5,93.1,2,7.2,24,3,6200
2011,11,43,-22.7108333333333,-47.3227777777778,27,0.2,209,1,6.9,21,4,1200
2011,11,48,-22.7122222222222,-47.6494444444444,22.7,5,139,38,6.6,70,19,44000
2011,11,54,-22.6336111111111,-47.6827777777778,21.6,0.3,119,6,7.2,60,5,26000
2011,11,83,-22.905,-46.9738888888889,24,1,145,2,6.7,73,4,4200
2011,11,86,-22.7613888888889,-47.1766666666667,29,2,270,10,7.2,93,13,110000
2011,11,627,-22.6597222222222,-47.2758333333333,20.5,1,65.9,3,6.9,16,2,200
2011,11,1342,-22.4527777777778,-47.52,20.5,0.02,56.7,1,6.3,43,2,154
2011,11,1945,-22.4091666666667,-47.5402777777778,19.42,0.1,62.5,2,7,31,2,320
2011,11,1946,-22.3247222222222,-47.5588888888889,19.4,0.2,59.1,3,6.9,34,2,2800
2011,12,66,-23.0061111111111,-47.1,46,1,175,3,7.4,53,5,3500
2011,12,71,-23.2083333333333,-46.7686111111111,28,0.4,98,2,6.9,27,2,42000
2011,12,82,-23.1583333333333,-46.9094444444444,19,0.57,81,3.07,6.9,25.5,16,204
2011,12,274,-23.2619444444444,-47.0577777777778,15,0.1,49,1.57,6.5,3.48,2,440
2011,12,320,-23.1830555555556,-47.2438888888889,18,0.1,97,2.05,6.7,24.1,2,244
2011,12,1947,-23.1641666666667,-47.015,26,0.4,81,1,6.9,39,2,2700
2012,1,27,-23.1033333333333,-46.545,16,0.8,55,4,7,16,2,2333.33333333333
2012,1,29,-22.9691666666667,-46.8477777777778,17,0.5,63,4,6.9,17,2,2500
2012,1,30,-22.9377777777778,-46.9336111111111,18,0.5,67,8,7.1,18,2,18333.3333333333
2012,1,32,-22.9083333333333,-46.5436111111111,13,0.1,77,2,6.7,13,3,8000
2012,1,34,-22.7466666666667,-46.8977777777778,14,0.4,67,2,7.4,16,3,9333.33333333333
2012,1,35,-22.7122222222222,-46.9713888888889,16,0.2,77,1,7.2,17,3,36666.6666666667
2012,1,37,-22.6988888888889,-47.1519444444444,18,0.2,87,3,7.1,51,4,5166.66666666667
2012,1,38,-22.6622222222222,-47.2777777777778,20.1,0.4,70,5,7,21,2,6333.33333333333
2012,1,40,-22.7025,-46.7494444444444,15,0.7,57,12,7.2,45,2,16666.6666666667
2012,1,43,-22.7108333333333,-47.3227777777778,27.5,0.3,122,4,6.9,61,3,4666.66666666667
2012,1,48,-22.7122222222222,-47.6494444444444,27.5,0.2,180,14,6.9,97,11,38333.3333333333
2012,1,54,-22.6336111111111,-47.6827777777778,30.8,0.4,123,13,7.1,92,4,38333.3333333333
2012,1,83,-22.905,-46.9738888888889,19,0.7,78,6,7.1,16,2,28333.3333333333
2012,1,86,-22.7613888888889,-47.1766666666667,18,0.4,97,18,7,19,2,38333.3333333333
2012,1,627,-22.6597222222222,-47.2758333333333,15.4,0.9,53.9,7,6.8,18,3,5666.66666666667
2012,1,1342,-22.4527777777778,-47.52,18.7,0.1,42.5,0.9,6.8,16,2,178.333333333333
2012,1,1945,-22.4091666666667,-47.5402777777778,23.1,0.5,59.6,3,7.2,29,2,900
2012,1,1946,-22.3247222222222,-47.5588888888889,24.2,0.4,64.2,37,6.8,5,2,14833.3333333333
2012,2,66,-23.0061111111111,-47.1,40,0.08,146,6,7.2,38,8,15000
